Cycle No,Shift,Start Time,End Time,Duration,Power in kWh,Unit Consumption Per Heat Cycle
1,Shift 1,2023-05-07 00:07:12,2023-05-07 01:56:09,108.95,1819.71,673.9667933235938
2,Shift 1,2023-05-07 01:56:09,2023-05-07 04:10:11,134.03333333333333,1944.32,720.118663174685
3,Shift 1,2023-05-07 04:10:11,2023-05-07 06:17:11,127.0,1917.79,710.2927334166443
1,Shift 1,2023-05-08 05:35:02,2023-05-08 05:53:39,18.616666666666667,258.36,95.68879001726766
2,Shift 2,2023-05-08 09:23:36,2023-05-08 11:41:05,137.48333333333332,2210.08,818.5483311919068
3,Shift 2,2023-05-08 11:41:05,2023-05-08 13:33:26,112.35,1963.29,727.1445918407247
4,Shift 2,2023-05-08 13:33:26,2023-05-08 15:56:38,143.2,1737.09,643.3667813895823
5,Shift 2,2023-05-08 15:56:38,2023-05-08 17:46:11,109.55,1850.49,685.3667977695981
6,Shift 3,2023-05-08 17:46:11,2023-05-08 19:38:09,111.96666666666668,1933.33,716.0482912168687
7,Shift 3,2023-05-08 19:38:09,2023-05-08 21:35:20,117.18333333333334,2177.68,806.5483265119022
8,Shift 3,2023-05-08 21:35:20,2023-05-09 02:53:31,318.18333333333334,3912.23,1448.9745029841783
1,Shift 1,2023-05-09 02:53:31,2023-05-09 04:49:00,115.48333333333332,1232.5,456.4815233191055
2,Shift 1,2023-05-09 04:49:01,2023-05-09 07:08:45,139.73333333333332,1325.3,490.8519070939331
3,Shift 1,2023-05-09 07:08:45,2023-05-09 10:20:03,191.3,2754.48,1020.178039457167
4,Shift 2,2023-05-09 10:20:03,2023-05-09 11:18:09,58.1,1552.38,574.9556435981126
5,Shift 2,2023-05-09 11:18:09,2023-05-09 12:32:51,74.7,1724.61,638.7445573646918
6,Shift 2,2023-05-09 12:32:51,2023-05-09 14:38:51,126.0,1424.57,527.6185880996135
7,Shift 2,2023-05-09 14:38:51,2023-05-09 17:00:56,142.08333333333334,2339.58,866.5113128604431
8,Shift 3,2023-05-09 17:00:56,2023-05-09 18:37:16,96.33333333333331,2014.66,746.1705251867688
9,Shift 3,2023-05-09 18:37:16,2023-05-10 01:07:29,390.2166666666666,3494.86,1294.3929612158615
1,Shift 1,2023-05-10 01:07:30,2023-05-10 03:11:05,123.58333333333331,1932.49,715.7371799844242
2,Shift 1,2023-05-10 03:11:05,2023-05-10 06:35:16,204.1833333333333,2911.87,1078.4706547838923
3,Shift 1,2023-05-10 06:35:16,2023-05-10 08:42:20,127.06666666666666,2058.88,762.548309351886
4,Shift 2,2023-05-10 08:42:20,2023-05-10 11:10:28,148.13333333333333,1955.13,724.1223684398348
5,Shift 2,2023-05-10 11:10:28,2023-05-10 14:09:22,178.9,1587.27,587.8778708600063
6,Shift 2,2023-05-10 14:09:22,2023-05-10 17:29:16,199.9,3084.59,1142.441050102731
7,Shift 3,2023-05-10 17:29:16,2023-05-10 19:24:28,115.2,2043.19,756.7371959744394
8,Shift 3,2023-05-10 19:24:28,2023-05-10 20:26:32,62.06666666666667,1218.43,451.2704101756592
9,Shift 3,2023-05-10 20:26:33,2023-05-10 21:21:37,55.06666666666667,972.18,360.0666709024771
10,Shift 3,2023-05-10 21:21:37,2023-05-11 00:14:57,173.33333333333334,2247.35,832.35204027906
1,Shift 1,2023-05-11 00:14:57,2023-05-11 05:15:31,300.56666666666666,2843.06,1052.9854596594755
2,Shift 1,2023-05-11 05:15:31,2023-05-11 07:06:50,111.31666666666666,1645.84,609.570471912718
3,Shift 1,2023-05-11 07:06:50,2023-05-11 08:04:14,57.4,1210.65,448.3889275703988
4,Shift 2,2023-05-11 11:58:08,2023-05-11 13:41:24,103.26666666666668,1997.74,739.9038560760998
5,Shift 2,2023-05-11 13:41:24,2023-05-11 15:12:25,91.01666666666668,1477.85,547.3519291289541
6,Shift 2,2023-05-11 15:12:25,2023-05-11 18:57:16,224.85,3787.93,1402.9374479926796
